task,algorithm,cv_accuracy,runtime
kr-vs-kp,LGBMClassifier,0.9899874843554443,327.64527201652527
letter,MLPClassifier,0.9652,380.4730579853058
balance-scale,LGBMClassifier,0.9745222929936306,312.3686740398407
mfeat-factors,MLPClassifier,0.966,316.8153898715973
mfeat-fourier,MLPClassifier,0.832,317.48826122283936
breast-w,RandomForestClassifier,0.9828571428571429,307.519344329834
mfeat-karhunen,QuadraticDiscriminantAnalysis,0.982,317.5875940322876
mfeat-morphological,MLPClassifier,0.732,313.9495151042938
mfeat-zernike,LogisticRegression,0.81,313.397185087204
cmc,LGBMClassifier,0.5338753387533876,307.54964089393616
optdigits,LGBMClassifier,0.9829181494661922,317.11619305610657
credit-approval,XGBClassifier,0.8439306358381503,310.9148681163788
credit-g,AdaBoostClassifier,0.772,347.4303550720215
pendigits,LGBMClassifier,0.990174672489083,317.51993584632874
diabetes,LogisticRegression,0.6979166666666666,308.8448848724365
spambase,LGBMClassifier,0.9609035621198957,311.2895300388336
splice,LGBMClassifier,0.956140350877193,315.481556892395
tic-tac-toe,LogisticRegression,0.9833333333333333,318.74523973464966
vehicle,LGBMClassifier,0.7924528301886793,313.097873210907
electricity,XGBClassifier,0.854343220338983,361.7842469215393
satimage,LGBMClassifier,0.9154228855721394,312.507874250412
eucalyptus,MLPClassifier,0.6358695652173914,308.3240990638733
sick,LGBMClassifier,0.9883351007423118,310.00200176239014
vowel,KNeighborsClassifier,0.9798387096774194,315.6885259151459
isolet,LGBMClassifier,0.9569230769230769,407.6832420825958
analcatdata_authorship,LinearDiscriminantAnalysis,1.0,309.18830728530884
analcatdata_dmft,SGDClassifier,0.15,308.83579182624817
mnist_784,RandomForestClassifier,0.9473714285714285,875.3645100593567
pc4,LGBMClassifier,0.8986301369863013,334.0169937610626
pc3,MLPClassifier,0.887468030690537,311.87888407707214
jm1,LGBMClassifier,0.8188831741366642,347.1862199306488
kc2,LGBMClassifier,0.8473282442748091,309.82660698890686
kc1,LogisticRegression,0.8674242424242424,326.8890299797058
pc1,BaggingClassifier,0.9424460431654677,307.2137978076935
adult,LGBMClassifier,0.8710998280239128,364.89741587638855
Bioresponse,LGBMClassifier,0.767590618336887,334.8531758785248
wdbc,AdaBoostClassifier,0.972027972027972,308.3561689853668
phoneme,RandomForestClassifier,0.8978534418948927,308.2896399497986
qsar-biodeg,LGBMClassifier,0.8560606060606061,314.62968707084656
wall-robot-navigation,LGBMClassifier,0.9934017595307918,308.6687250137329
semeion,LGBMClassifier,0.924812030075188,475.4707612991333
ilpd,LogisticRegression,0.7123287671232876,608.4068598747253
madelon,LGBMClassifier,0.8661538461538462,493.3914098739624
nomao,LGBMClassifier,0.9622838574910062,316.6362659931183
ozone-level-8hr,LGBMClassifier,0.944794952681388,311.4090099334717
cnae-9,BernoulliNB,0.9555555555555556,315.0185580253601
first-order-theorem-proving,BaggingClassifier,0.6078431372549019,454.6052222251892
banknote-authentication,MLPClassifier,1.0,318.08111476898193
blood-transfusion-service-center,LGBMClassifier,0.7754010695187166,315.3162670135498
PhishingWebsites,LGBMClassifier,0.9710564399421129,525.5359749794006
