task_id,dataset_name,algorithm,pipeline,cv_accuracy,runtime_sec,status,hyperparameters,max_depth,n_estimators,num_leaves,attr_conc.mean,attr_ent.mean,can_cor.mean,class_conc.mean,class_ent,cor.mean,cov.mean,eigenvalues.mean,eq_num_attr,g_mean.mean,gravity,h_mean.mean,iq_range.mean,joint_ent.mean,kurtosis.mean,lh_trace,mad.mean,max.mean,mean.mean,median.mean,min.mean,mut_inf.mean,nr_cor_attr,nr_disc,nr_norm,nr_outliers,ns_ratio,p_trace,range.mean,roy_root,sd.mean,sd_ratio,skewness.mean,sparsity.mean,t_mean.mean,var.mean,w_lambda,task_type,class_imbalance,dimensionality,n_classes,n_features,n_instances,mfe_error,landmark_1nn,landmark_nb,landmark_tree,n_rows,majority_class_ratio,sparsity
6,letter,LGBMClassifier,"Pipeline(steps=[('maxabsscaler', MaxAbsScaler()),
                ('selectfwe', SelectFwe(alpha=0.0005115425765)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('lgbmclassifier',
                 LGBMClassifier(boosting_type=np.str_('gbdt'), max_depth=5,
                                n_estimators=71, n_jobs=1, num_leaves=121,
                                random_state=42, verbose=-1))])",0.9368123706081836,311.833860874176,success,"{""max_depth"": 5, ""n_estimators"": 71, ""num_leaves"": 121}",5.0,71.0,121.0,0.045760864660545755,2.7910823697215994,0.4787714124527419,0.12023629340060624,4.693610121380583,0.1823203503774346,0.9517725446056358,5.393675837918959,9.111395164118804,0.9460735984296684,11.500941745174654,0.9082869375105995,2.625,6.9695562208782444,0.7184616583337584,12.225128067142052,2.038575,14.4375,5.9265625,5.75,0.1875,0.5151362702239377,0.125,16,0.0,15,4.4181437632187555,4.788466681985016,14.25,3.729923162956331,2.2863536477610706,2.0456855298492935,0.28851059301673176,0.06633719790298079,5.842083333333334,5.393675837918959,0.0008077800696011458,classification,0.0465,0.008,26,16,2000,0,0.9531501072711142,0.6426997807025341,0.07179999535876791,20000,0.04065,0.026209375
3,kr-vs-kp,LGBMClassifier,"Pipeline(steps=[('maxabsscaler', MaxAbsScaler()),
                ('selectpercentile',
                 SelectPercentile(percentile=41.6560702264794)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('featureunion',
                                                 FeatureUnion(transformer_list=[('kbinsdiscretizer',
                                                                                 KBinsDiscretizer(encode='onehot-dense',
                                                                                                  n_bins=99,
                                                                                                  random_state=42,
                                                                                                  strategy=np.str_('kmeans')))])),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('lgbmclassifier',
                 LGBMClassifier(boosting_type=np.str_('gbdt'), max_depth=10,
                                n_estimators=40, n_jobs=1, num_leaves=158,
                                random_state=42, verbose=-1))])",0.9636150234741784,333.935702085495,success,"{""max_depth"": 10, ""n_estimators"": 40, ""num_leaves"": 158}",10.0,40.0,158.0,0.10202176701940399,0.5439179620721867,0.8030195494896436,0.1107931031714213,0.9987870748635468,0.09449612373282716,0.012268960203084793,0.12960096486599468,57.20227498484067,0.0,1.0744805170191263,0.0,0.3835616438356164,1.525244418889891,77.62544798396476,1.8156355372798163,0.0,1.0,0.4931506849315068,0.4931506849315068,0.0,0.017460618045842372,0.027777777777777776,1,0.0,45,30.15112882282546,0.6448403968625501,1.0,1.8156355372798163,0.329606296965654,0.0,0.05459177245558052,0.49974987493746875,0.4928881278538813,0.12960096486599465,0.3551596031374499,classification,0.5205,0.0365,2,110,2000,0,0.7478042321051598,0.6380146629201936,0.5262981264698888,3196,0.522215269086358,0.6727272727272727
11,balance-scale,MLPClassifier,"Pipeline(steps=[('robustscaler',
                 RobustScaler(quantile_range=(0.2475690452454,
                                              0.9671736154307))),
                ('selectfwe', SelectFwe(alpha=0.0012903345738)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('mlpclassifier',
                 MLPClassifier(activation=np.str_('tanh'), alpha=0.000391371023,
                               early_stopping=np.False_,
                               hidden_layer_sizes=[236, 236, 236],
                               learning_rate=np.str_('constant'),
                               learning_rate_init=0.0004783783822,
                               n_iter_no_change=32, random_state=42))])",0.9700238078060744,307.7961220741272,success,{},,,,-6.250002346150688e-08,2.3219280948873626,0.4239273511970778,0.04375591335433088,1.318116246441582,0.0,0.0,2.003205128205128,9.738297352507818,2.6051710846973517,1.2190676701606842,2.1897810218978107,2.0,3.5046904700382777,-1.3054356480000002,2.09347480877095,1.4826,5.0,3.0,3.0,1.0,0.13535387129066656,0.0,2,0.0,0,16.154500811440574,0.677309977324263,4.0,2.092836646677778,1.4153462926807447,1.3063253678127413,0.0,0.1987179487179487,3.0,2.003205128205128,0.32312157383786844,classification,0.4608,0.0064,3,4,625,0,0.7344497607655502,0.6641439700650227,0.4640074837443258,625,0.4608,0.0
12,mfeat-factors,LGBMClassifier,"Pipeline(steps=[('maxabsscaler', MaxAbsScaler()),
                ('selectfwe', SelectFwe(alpha=0.0005115425765)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('lgbmclassifier',
                 LGBMClassifier(boosting_type=np.str_('gbdt'), max_depth=5,
                                n_estimators=71, n_jobs=1, num_leaves=121,
                                random_state=42, verbose=-1))])",0.9643808279050811,343.6684241294861,success,"{""max_depth"": 5, ""n_estimators"": 71, ""num_leaves"": 121}",5.0,71.0,121.0,0.029798121692043128,3.530557172490266,0.9229110758714805,0.08833266103872965,3.321928094887362,0.2539138338290477,759.4304422381291,4676.691732456226,5.259510298358692,316.63816420154325,1169.4119476899489,311.84158811638895,70.62375,6.220881200374656,-0.3303879054234924,84.86524199075531,50.375041499999995,485.09,326.16884,326.1225,192.81,0.6316040670029716,0.11773869346733669,9,1.0,119,4.589826533643356,7.687401634335117,292.28,24.09882468322579,50.603829360616885,0.0,0.031687082839119085,0.018257371812363463,325.90748333333335,4676.691732456228,4.978392620328224e-09,classification,0.1,0.1,10,216,2000,0,0.9420012216114166,0.9240004622313468,0.18749934342138241,2000,0.1,0.005442129629629629
14,mfeat-fourier,RandomForestClassifier,"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('selectpercentile',
                 SelectPercentile(percentile=21.9321322507746)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('featureunion',
                                                 FeatureUnion(transformer_list=[('columnordinalencoder',
                                                                                 ColumnOrdinalEncoder())])),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('randomforestclassifier',
                 RandomForestClassifier(bootstrap=np.False_,
                                        criterion=np.str_('entropy'),
                                        max_features=0.1355955425177,
                                        min_samples_leaf=9,
                                        min_samples_split=16, n_estimators=128,
                                        n_jobs=1, random_state=42))])",0.8237592315421858,311.8515110015869,success,"{""max_depth"": null, ""n_estimators"": 128}",,128.0,,0.013423845139845543,3.584956441221679,0.7214369787874418,0.03862234908914019,3.321928094887362,0.14589066038128862,0.0007167773171461904,0.0055202826849699675,11.401216482645065,0.11176989956186348,0.797043009074108,0.08415997438098963,0.09598725911184211,6.6155184261905084,0.11259554101330853,30.989930256419356,0.06997288616407896,0.3819513794736842,0.13203208401769737,0.1262276590789474,0.003192156710526316,0.2913661099185339,0.00631578947368421,9,0.0,69,11.303958213342087,5.107712527881371,0.37875922276315793,16.403901197805997,0.0671079516668835,2.1008587886562915,0.5438839049092433,1.6084735963029035e-06,0.12739265661875,0.005520282684969967,5.04080761535979e-05,classification,0.1,0.038,10,76,2000,0,0.8230014122068096,0.7535091313202257,0.18750234492363427,2000,0.1,0.0
15,breast-w,LinearDiscriminantAnalysis,"Pipeline(steps=[('maxabsscaler', MaxAbsScaler()),
                ('passthrough', Passthrough()),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('featureunion',
                                                 FeatureUnion(transformer_list=[('binarizer',
                                                                                 Binarizer(threshold=0.8343247003721))])),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('lineardiscriminantanalysis',
                 LinearDiscriminantAnalysis(shrinkage=0.75182255105,
                                            solver=np.str_('eigen')))])",0.9553217181300674,308.0168631076813,success,{},,,,0.20575079829008613,1.838680443533674,0.9158893450408838,0.253030634806316,0.9293179372497983,0.6003818891785543,4.674606045658534,7.843880761118239,1.8764875297157033,2.0029173833058964,13.294328998100593,1.5699328232700152,3.0,2.272755048476013,1.6573845120513662,5.205525478251682,0.4942,10.0,3.126688920680337,1.6666666666666667,0.8888888888888888,0.4952433323074597,0.75,1,0.0,5,2.712680865316879,0.8388532923594191,9.11111111111111,5.205525478251682,2.7507306592961687,1.448653189641223,1.4739855354144622,0.09893539019613519,2.2222222222222223,7.843880761118239,0.16114670764058092,classification,0.6552217453505007,0.012875536480686695,2,9,699,0,0.9570815450643777,0.9613733905579398,0.9041487839771102,699,0.6552217453505007,0.002543315848036878
16,mfeat-karhunen,LGBMClassifier,"Pipeline(steps=[('normalizer', Normalizer(norm=np.str_('max'))),
                ('rfe',
                 RFE(estimator=ExtraTreesClassifier(bootstrap=np.True_,
                                                    criterion=np.str_('gini'),
                                                    max_features=0.6818264375152,
                                                    min_samples_leaf=19,
                                                    min_samples_split=15,
                                                    n_jobs=1, random_state=42),
                     step=0.9588310222438)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('lgbmclassifier',
                 LGBMClassifier(boosting_type=np.str_('gbdt'), max_depth=5,
                                n_estimators=66, n_jobs=1, num_leaves=165,
                                random_state=42, verbose=-1))])",0.9512441062180717,318.78666496276855,success,"{""max_depth"": 5, ""n_estimators"": 66, ""num_leaves"": 165}",5.0,66.0,165.0,0.008100943220510979,3.5849565906921574,0.8098470653325873,0.03604646814485218,3.321928094887362,0.10720046604904641,0.5524602893457025,6.491588677205072,12.06035335179629,0.0,18.498333372495633,0.0,2.9604338379296875,6.631442665102352,-0.0514900121007718,29.1756188676682,2.182102207215,6.893724891875,0.05308473924664062,0.04568855382812502,-6.7565145228125,0.27544202047716854,0.000496031746031746,9,28.0,61,12.015285701439717,6.0074938321815745,13.6502394146875,10.861036795391549,2.1526628287026788,1.906035924584587,-0.00427923625665644,1.517067369877409e-06,0.0462514596875,6.491588677205074,1.2563704282949464e-05,classification,0.1,0.032,10,64,2000,0,0.9689997343670508,0.9335024679852265,0.18600084342213274,2000,0.1,0.0
18,mfeat-morphological,LGBMClassifier,"Pipeline(steps=[('maxabsscaler', MaxAbsScaler()),
                ('selectfwe', SelectFwe(alpha=0.0013746908206)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('lgbmclassifier',
                 LGBMClassifier(boosting_type=np.str_('gbdt'), max_depth=2,
                                n_estimators=65, n_jobs=1, num_leaves=253,
                                random_state=42, verbose=-1))])",0.7218814193327758,306.4134693145752,success,"{""max_depth"": 2, ""n_estimators"": 65, ""num_leaves"": 253}",2.0,65.0,253.0,0.24982278901589205,2.6010475566519244,0.6018713397624925,0.4526141720697969,3.321928094887362,0.5727573352912986,6498.553949737279,2353407.434873242,2.681516244088238,860.9859275544521,2168.300552755149,695.1521016090242,1006.6428627587497,4.684151123733051,-0.540357257851879,44.991327575540005,708.3668575965311,2969.839272355,1052.6997316402774,901.6869907466667,256.69782190666666,1.2388245278062358,0.7333333333333333,6,0.0,1,1.0996093460128469,2.7623470707467814,2713.141450448333,39.959864183757595,630.9070825140196,0.0,0.5307700993518086,0.1069700579873133,960.9828335317335,2353407.4348732415,0.0015175958808919874,classification,0.1,0.003,10,6,2000,0,0.44050422236329284,0.6955020988004496,0.19449959704832268,2000,0.1,0.20333333333333334
22,mfeat-zernike,MLPClassifier,"Pipeline(steps=[('normalizer', Normalizer(norm=np.str_('l2'))),
                ('selectpercentile',
                 SelectPercentile(percentile=87.4306730968204)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('mlpclassifier',
                 MLPClassifier(activation=np.str_('identity'),
                               alpha=0.0179535539978, early_stopping=np.False_,
                               hidden_layer_sizes=[439, 439, 439],
                               learning_rate=np.str_('constant'),
                               learning_rate_init=0.0558851230308,
                               n_iter_no_change=32, random_state=42))])",0.8175100074250526,321.3149383068085,success,{},,,,0.032702239942440925,3.584956726082243,0.7160985586972515,0.05397938200340831,3.321928094887362,0.2577673468649649,386.5446035561373,2910.4386186554434,8.330996171658219,76.10954922235662,532.6752210221024,59.27453675011991,56.50728719276595,6.508141618303341,0.7268303504961955,20.237850467851853,40.98755702567891,221.22523790510638,88.63642941472713,83.48502914585106,13.034599618723405,0.3987432026662615,0.1267345050878816,9,0.0,40,7.990640347248165,5.13858469453001,208.190638286383,7.218153668563044,40.125452921755205,0.0,0.7896442267750822,1.591106059069886e-06,84.67692958992872,2910.4386186554443,0.00011890896299391891,classification,0.1,0.0235,10,47,2000,0,0.8015084049566809,0.7305026165595881,0.18550034292163228,2000,0.1,0.0
23,cmc,XGBClassifier,"Pipeline(steps=[('normalizer', Normalizer(norm=np.str_('max'))),
                ('rfe',
                 RFE(estimator=ExtraTreesClassifier(bootstrap=np.False_,
                                                    criterion=np.str_('gini'),
                                                    max_features=0.4503212524738,
                                                    min_samples_leaf=4,
                                                    min_samples_split=7,
                                                    n_jobs=1, random_state=42),
                     step=0.4508018695877)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('featureunion',
                                                 FeatureUnion(tran...
                               feature_types=None, feature_weights=None,
                               gamma=1.7671893830769, grow_policy=None,
                               importance_type=None,
                               interaction_constraints=None,
                               learning_rate=0.0246597938241, max_bin=None,
                               max_cat_threshold=None, max_cat_to_onehot=None,
                               max_delta_step=None, max_depth=11,
                               max_leaves=None, min_child_weight=19,
                               missing=nan, monotone_constraints=None,
                               multi_strategy=None, n_estimators=100, n_jobs=1,
                               nthread=1, ...))])",0.5543546935313565,308.52035117149353,success,"{""max_depth"": 11, ""n_estimators"": 100}",11.0,100.0,,0.03269507089437645,0.8605725719356,0.3405634210300848,0.038462831856026405,1.5390345832497476,0.13224579593347058,0.08411929526156811,3.1924653961524823,87.07468959284654,1.3122039174092952,1.4107130841210718,1.269002596448045,1.0833333333333333,2.38193227640661,4.234741490235979,0.2781780514890191,0.4942,3.625,1.7833220185562342,1.625,0.6666666666666666,0.017674878778737375,0.03260869565217391,2,0.0,13,47.689022578805826,0.23998427501982728,2.9583333333333335,0.19491040348020405,0.7872051681893275,0.0,1.2747874111192685,0.46197134084612096,1.6805084745762713,3.1924653961524854,0.7725540696126999,classification,0.4270196877121521,0.016293279022403257,3,31,1473,0,0.4419551934826884,0.43652410047522067,0.4270196877121521,1473,0.4270196877121521,0.7118016775069531
